Item,Description,Quantity,Unit Price (£),Totatl Price(£),URL
"TheFPV Chaos VTX V2 Video Transmitter (25-1200mW, 2-6S, VTX Telemetry / Control, MMCX/SMA)",Video Transmitter,1,17.91,17.91,https://www.unmannedtechshop.co.uk/products/thefpv-chaos-vtx-v2-video-transmitter-25-1200mw-2-6s-vtx-telemetry-control-mmcx-sma
DYS Quanumn Fixed Wing ESC 40A,ESC,1,12.49,12.49,https://www.unmannedtechshop.co.uk/products/dys-quanumn-fixed-wing-esc-40a?_pos=5&_sid=a74c5d013&_ss=r
Flywoo Explorer Molicell P30B 18650 3S1P 3000mAh Li-Ionpack Battery,Battery,1,20.95,20.95,https://www.unmannedtechshop.co.uk/products/flywoo-explorer-molicell-p30b-18650-3s1p-3000mah-li-ionpack-battery?pr_prod_strat=e5_desc&pr_rec_id=78b98dcc8&pr_rec_pid=15435145347453&pr_ref_pid=15435146297725&pr_seq=uniform
Runcam Phoenix 2 SP V3 1500TVL Freestyle FPV Camera,Camera,1,24.69,24.69,https://www.unmannedtechshop.co.uk/products/runcam-phoenix-2-sp-v3-1500tvl-freestyle-fpv-camera
SunnySky X2216 2216 880KV 1100KV 1250KV 1400KV 1800KV 2400KV II Outrunner Brushless Motor For RC Models 3D airplane,Moter,1,12.24,12.24,https://www.aliexpress.com/item/1005003801121195.html?spm=a2g0o.productlist.main.2.608b79e9twXW3g&algo_pvid=4589a856-cb9f-4a92-a41d-057335957f2f&algo_exp_id=4589a856-cb9f-4a92-a41d-057335957f2f-1&pdp_ext_f=%7B%22order%22%3A%2240%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%2137.69%2112.24%21%21%2148.14%2115.63%21%402103864c17628030074505113e36f2%2112000037318723734%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5a2dcc71%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461876&curPageLogUid=nZdwZetDz6yL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003801121195%7C_p_origin_prod%3A
HGLRC M100 Pro GPS Module,Compass and Gps,1,18.99,18.99,https://www.unmannedtechshop.co.uk/products/hglrc-m100-pro-gps-module
Emax ES3351 10.6g Digital Servo,Servo,4,7.81,31.24,https://www.hobbyrc.co.uk/emax-es3351-106g-mini-analogue-servo
SkyRC B6 neo DC 200W Charger,charger,1,32.41,32.41,https://www.hobbyrc.co.uk/skyrc-b6-neo-dc-200w-charger
Master Airscrew 9x4 Pusher Prop Electric Only,prop,2,3.99,7.98,https://www.hobbyrc.co.uk/master-airscrew-9x4-pusher-prop-electric-only
Sourcing Map Nichrome (Cr20Ni80) 0.4mm 26 Gauge 33FT Heating Resistor Wire for Home Appliances & Industry,wire for foam cutter,1,4.89,4.89,https://www.amazon.co.uk/sourcing-map-Resistance-Appliances-Materials/dp/B0DJPBL6K8/ref=sr_1_3?dd=cZIUe1y5RmpYwy6WZ-66ew%2C%2C&dib=eyJ2IjoiMSJ9.O7Uin69UL6nwEUqDiGZ0AbN8YqTHdXta6kst-g5TpAayM9j5xhpG3B04mah_81Oaj2RFmkHbbSipf8oPIGg58ipdEjMYm6WTvD_YAwjUIX9v4goHXWERNJzexJJzvgmxcr_3CYJUOpF-pMGnQmQHCep-EpB4w-5_5JWgQlkJEJnmURLCHX7qnIpUtMCLZFJE-tiClrGwWyt9XqP_v6PBZkcI8JcCdhdeu28PSrqJ43tBJzgShUnpjWtI38eLuWmeoHsjDyqs_raYQMfNn2dvCZEkthuOBLar9AUuBupmI1A.YFu6FXFLJZLhvbvKAuQ4_VqDXw8HRf9wvxAURvvj_h4&dib_tag=se&keywords=nichrome+wire&qid=1762811240&refinements=p_90%3A22415809031%2Cp_n_free_shipping_eligible%3A20930951031&rnid=20930950031&sr=8-3
XPS Extruded Polystyrene Foam (Styrofoam) 100mm,Foam,3,7.75,23.25,https://www.easycomposites.co.uk/xps-extruded-polystyrene-foam
GEPRC Peano 5.8GHz Antenna (RHCP/LHCP) (UFL),Antena,1,13.75,13.75,https://www.hobbyrc.co.uk/geprc-peano-58ghz-antenna-rhcplhcp-ufl
Matek F405 Wing V2 Flight Controller,Flight Controller,1,39.95,39.95,https://www.hobbyrc.co.uk/matek-f405-wing-v2-flight-controller
BetaFPV SuperD ELRS 2.4G Diversity Receiver,Reciver,1,14.95,14.95,https://www.unmannedtechshop.co.uk/products/betafpv-superd-elrs-2-4g-diversity-receiver?_pos=20&_sid=0807b3d90&_ss=r
,,20,,275.69,